Tue Mar 28 00:11:28 2023    ./matching/matching.prof

         475538238 function calls (475538189 primitive calls) in 250.674 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)       
        1    0.000    0.000    0.000    0.000 {built-in method _abc._abc_init}       28    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:878(__exit__)
        7    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:491(_get_cached)
        1    0.000    0.000    0.000    0.000 ntpath.py:450(normpath)
        2    0.000    0.000    0.000    0.000 std.py:1300(fp_write)
        1    0.000    0.000    0.000    0.000 __init__.py:22(<listcomp>)      
        1    0.000    0.000    0.000    0.000 process.py:71(BaseProcess)      
        1    0.000    0.000    0.000    0.000 {built-in method nt.urandom}    
        7    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:156(__enter__)
        7    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1415(find_spec)
       13    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:385(cached)
        2    0.000    0.000    0.000    0.000 _weakrefset.py:53(_commit_removals)
       24    0.000    0.000    0.000    0.000 {method 'rfind' of 'str' objects}
        2    0.000    0.000    0.000    0.000 threading.py:228(__init__)      
        7    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:185(cb)
        1    0.000    0.000    0.000    0.000 _monitor.py:30(__init__)        
        1    0.000    0.000    0.004    0.004 std.py:657(get_lock)
        6    0.000    0.000    0.000    0.000 {built-in method _imp._fix_co_filename}
        3    0.000    0.000    0.000    0.000 {method 'remove' of 'set' objects}
        6    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:593(_validate_timestamp_pyc)
        1    0.000    0.000    0.000    0.000 std.py:576(_get_free_pos)       
       27    0.000    0.000    0.000    0.000 {method 'add' of 'set' objects} 
        1    0.000    0.000    0.000    0.000 copyreg.py:103(_slotnames)      
        6    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1077(path_stats)
        9    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:154(_path_isfile)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1475(__init__)
        6    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:523(_check_name_wrapper)
        1    0.000    0.000    0.000    0.000 threading.py:880(start)
        1    0.000    0.000    0.002    0.002 context.py:70(RLock)
        1    0.000    0.000    0.000    0.000 random.py:126(seed)
        1    0.000    0.000    0.000    0.000 <frozen zipimport>:63(__init__) 
       52    0.000    0.000    0.000    0.000 {built-in method _imp.acquire_lock}
        1    0.000    0.000    0.000    0.000 threading.py:280(wait)
        1    0.000    0.000    0.000    0.000 utils.py:162(__init__)
       35    0.000    0.000    0.000    0.000 {built-in method _thread.get_ident}
       35    0.000    0.000    0.000    0.000 {method '__exit__' of '_thread.lock' objects}
        6    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:35(_new_module)
       52    0.000    0.000    0.000    0.000 {built-in method _imp.release_lock}
        2    0.000    0.000    0.000    0.000 {built-in method _imp.is_builtin}
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1333(_path_hooks)
        2    0.000    0.000    0.000    0.000 _weakrefset.py:27(__exit__)     
        1    0.000    0.000    0.000    0.000 weakref.py:105(__init__)        
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:167(_path_isabs)
        1    0.000    0.000    0.000    0.000 process.py:393(__init__)        
       18    0.000    0.000    0.000    0.000 {built-in method from_bytes}    
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1594(<setcomp>)
        1    0.000    0.000    0.000    0.000 threading.py:563(wait)
        7    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:351(__init__)
        1    0.000    0.000    0.000    0.000 std.py:1161(__del__)
       44    0.000    0.000    0.000    0.000 {method 'lower' of 'str' objects}
        1    0.000    0.000    0.000    0.000 __init__.py:177(__init__)       
        1    0.000    0.000    0.000    0.000 {built-in method _struct.unpack}        4    0.000    0.000    0.000    0.000 std.py:115(__exit__)
        4    0.000    0.000    0.000    0.000 std.py:112(__enter__)
        1    0.000    0.000    0.000    0.000 std.py:329(status_printer)      
        7    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:160(__exit__)
        7    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:811(find_spec)
        7    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:152(__init__)
        1    0.000    0.000    0.000    0.000 synchronize.py:114(_make_name)  
        1    0.000    0.000    0.000    0.000 _weakrefset.py:111(remove)      
       23    0.000    0.000    0.000    0.000 {method 'partition' of 'str' objects}
        3    0.000    0.000    0.000    0.000 utils.py:101(wrapper_setattr)   
       21    0.000    0.000    0.000    0.000 {built-in method nt.fspath}     
        2    0.000    0.000    0.000    0.000 {built-in method builtins.locals}
        2    0.000    0.000    0.000    0.000 _weakrefset.py:21(__enter__)    
        8    0.000    0.000    0.000    0.000 ansitowin32.py:28(__getattr__)  
        2    0.000    0.000    0.000    0.000 utils.py:136(disable_on_exception)
        2    0.000    0.000    0.000    0.000 __init__.py:392(__getattr__)    
        1    0.000    0.000    0.000    0.000 tempfile.py:149(__next__)       
        1    0.000    0.000    0.000    0.000 utils.py:215(_supports_unicode) 
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1171(create_module)
        7    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:736(find_spec)
        2    0.000    0.000    0.000    0.000 threading.py:528(__init__)      
        1    0.000    0.000    0.000    0.000 synchronize.py:46(SemLock)      
        7    0.000    0.000    0.000    0.000 {built-in method builtins.setattr}
        7    0.000    0.000    0.000    0.000 {built-in method _imp.is_frozen}        6    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1006(__init__)
        1    0.000    0.000    0.000    0.000 ntpath.py:124(splitdrive)       
        2    0.000    0.000    0.000    0.000 _weakrefset.py:86(add)
        2    0.000    0.000    0.000    0.000 __init__.py:1675(getEffectiveLevel)
        1    0.000    0.000    0.000    0.000 weakref.py:290(update)
